Player,Role,Avg_Price_Cr,Max_Price_Cr,Times_Auctioned,Total_Runs,Balls_Faced,Strike_Rate,Total_Wickets,Economy_Rate,Runs_Norm,SR_Norm,Wickets_Norm,Performance_Score_Raw,Performance_Score,Value_Flag
HS Sharath,Bowler,0.1,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Hanuma Vihari,Batsman,1.05,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Harbhajan Singh,Bowler,2.0,2.0,2,833.0,604.0,137.91,150.0,7.02,21.386392811296535,100.0,100.0,419.57,68.55,Good Value
Hardik Pandya,All-Rounder,0.1,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Hardus Viljoen,Bowler,0.75,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Harpreet Brar,All-Rounder,2.0,3.8,2,0.0,0.0,0.0,9.0,7.67,0.0,0.0,6.0,2.7,1.8,Fair Price
Harry Gurney,Bowler,0.75,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Harshal Patel,All-Rounder,3.78,10.75,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Heinrich Klaasen,Wicket Keeper,0.5,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Himmat Singh,Batsman,0.65,0.65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Hrithik Shokeen,All-Rounder,0.2,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Imran Tahir,Bowler,1.0,1.0,1,0.0,0.0,0.0,82.0,7.68,0.0,0.0,54.666666666666664,24.6,16.4,Fair Price
Iqbal Abdullah,All-Rounder,0.38,0.65,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Irfan Pathan,All-Rounder,1.63,2.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fair Price
Ishan Kishan,Wicket Keeper,7.27,15.25,3,1870.0,1413.0,132.34,0.0,0.0,48.010269576379976,95.96113407294612,0.0,787.7,47.99,Fair Price
